threshold,precision,recall,f1
3.272286265999953e-10,0.5091933570581257,1.0,0.6747887600707408
5.321300792789375e-10,0.5093444081874815,1.0,0.6749213836477987
6.020460479455268e-10,0.5094955489614243,1.0,0.675054059367014
6.376554749556623e-10,0.5096467794597803,1.0,0.6751867872591427
9.790743212629654e-10,0.5097980997624703,1.0,0.6753195673549656
9.885967764337092e-10,0.5099495099495099,1.0,0.6754523996852871
1.1861326809602205e-09,0.51010101010101,1.0,0.6755852842809364
1.2105763697794533e-09,0.5102526002971768,1.0,0.6757182211727666
1.392324491835024e-09,0.5104042806183116,1.0,0.6758512103916552
1.7701393127694072e-09,0.5105560511448112,1.0,0.6759842519685039
2.874530878785622e-09,0.5107079119571684,1.0,0.676117345934239
4.014303303868719e-09,0.5108598631359714,1.0,0.6762504923198109
4.1860312550015114e-09,0.5110119047619047,1.0,0.6763836911561946
4.188083838330198e-09,0.5111640369157487,1.0,0.6765169424743893
4.227417776439178e-09,0.51131625967838,1.0,0.6766502463054187
4.233788679968026e-09,0.5114685731307715,1.0,0.6767836026803311
4.745772032027522e-09,0.5116209773539928,1.0,0.676917011630199
5.246181880674943e-09,0.5117734724292101,1.0,0.6770504731861198
5.248007807701303e-09,0.5119260584376863,1.0,0.6771839873792151
6.276813448986427e-09,0.5120787354607814,1.0,0.6773175542406312
7.097349265027883e-09,0.5122315035799523,1.0,0.6774511738015387
8.31663494886735e-09,0.5123843628767533,1.0,0.6775848460931334
8.329663972110457e-09,0.5125373134328358,1.0,0.6777185711466351
9.413500565087542e-09,0.5126903553299492,1.0,0.6778523489932886
9.466631030810027e-09,0.5128434886499402,1.0,0.6779861796643633
9.676907076438197e-09,0.5129967134747535,1.0,0.6781200631911533
1.0687592720083949e-08,0.5131500298864315,1.0,0.6782539996049772
1.1419119647044023e-08,0.5133034379671151,1.0,0.678387988937179
1.3199072901762541e-08,0.5134569377990431,1.0,0.6785220312191268
1.3909754365176427e-08,0.5136105294645528,1.0,0.6786561264822134
1.5596604863500307e-08,0.5137642130460802,1.0,0.6787902747578574
1.5871423456130282e-08,0.5139179886261598,1.0,0.678924476077501
2.2535390433106463e-08,0.5140718562874251,1.0,0.6790587304726122
3.15192063260367e-08,0.5142258161126085,1.0,0.6791930379746836
