metric,baseline,tuned,delta
accuracy,0.9909054962435745,0.994661921708185,0.0037564254646105244
spam_precision,0.9880401234567902,,
spam_recall,0.9941770186335404,,
macro_f1,0.9909011928389617,,
pr_auc,,0.9995466750443923,
roc_auc,,0.9995574242186301,
