thr,spam_P,spam_R,spam_F1,ham_P,ham_R,ham_F1,TN,FP,FN,TP,mode
0.5,0.9934057408844065,0.9941770186335404,0.993791230112534,0.9939516129032258,0.9931506849315068,0.9935509875050383,2465,17,15,2561,
0.55,0.9937791601866252,0.9922360248447205,0.993006993006993,0.9919549477071601,0.9935535858178888,0.9927536231884058,2466,16,20,2556,val-opt
0.6,0.99609375,0.9899068322981367,0.9929906542056075,0.9895916733386709,0.9959709911361805,0.9927710843373494,2472,10,26,2550,
0.65,0.9968688845401175,0.9887422360248447,0.992788930033132,0.9884139033160207,0.9967767929089444,0.9925777331995987,2474,8,29,2547,
0.7,0.997248427672956,0.984860248447205,0.991015625,0.9844868735083532,0.9971796937953263,0.9907926341072858,2475,7,39,2537,
