mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__penalty,param_clf__class_weight,param_clf__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.566909408569336,0.08144701928570328,0.3001211166381836,0.019730918781038047,"(1, 1)",3,0.9,l2,balanced,100.0,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(100.0)}",0.9993465853473569,0.9986695323567604,0.99609130645477,0.9991010682885837,0.9977162101780058,0.9981849405250953,0.0011854576984563876,1
1.8063215732574462,0.20471968283187103,0.3899563789367676,0.07834309296390975,"(1, 1)",5,0.98,l2,balanced,43.287612810830616,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 5, 'tfidf__max_df': 0.98, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(43.287612810830616)}",0.9993328730549043,0.9985025506739529,0.9961457537776439,0.9990064369194214,0.9971500899563379,0.998027540876452,0.0011999005516471302,2
1.4350250720977784,0.1254247993825702,0.2909995079040527,0.05562051977439481,"(1, 1)",10,0.9,l2,balanced,43.287612810830616,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.9, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(43.287612810830616)}",0.9993073159037541,0.9984127246911499,0.9962378036088962,0.9987922085374337,0.9973866701392536,0.9980273445760975,0.0010940550186684852,3
0.9200676918029785,0.10354837501827374,0.17130436897277831,0.018189912428719982,"(1, 1)",10,0.95,l2,,18.73817422860385,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': np.float64(18.73817422860385)}",0.999340360636109,0.9984180072554829,0.9963758940392001,0.998730251932816,0.9971893199751218,0.998010766767746,0.0010769314968048728,4
0.8853538036346436,0.06623469105315323,0.1606142520904541,0.01484598016882299,"(1, 1)",10,0.95,l2,balanced,100.0,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(100.0)}",0.999203156015123,0.998374086290778,0.9960939350691668,0.9988318490647249,0.9975054553160816,0.9980016963511747,0.0011096973815474221,5
5.081609725952148,0.5769360988730092,0.5240225791931152,0.1144054756761263,"(1, 2)",10,0.9,l2,balanced,3.511191734215131,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.9, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(3.511191734215131)}",0.9993819469976812,0.9985507561442335,0.9958744077772965,0.9984783071966705,0.9962050870154014,0.9976981010262567,0.0013947062469896296,6
1.3551268100738525,0.08994131698797049,0.24123187065124513,0.03022871223665617,"(1, 1)",10,0.95,l2,balanced,3.511191734215131,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(3.511191734215131)}",0.9992233876441393,0.9982941979943689,0.9964729374568537,0.9984209259019438,0.9958332600990377,0.9976489418192687,0.0012783490118477897,7
4.344523525238037,0.16097984789279107,0.5071590900421142,0.11579999780274104,"(1, 2)",3,0.9,l2,balanced,0.6579332246575682,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(0.6579332246575682)}",0.9976889528694828,0.9980311067864205,0.9962134345978617,0.9979587473527697,0.9928783115106184,0.9965541106234307,0.0019529438395646712,8
4.291588592529297,0.212689841302143,0.5727232933044434,0.09094241122365954,"(1, 2)",5,0.98,l2,,0.6579332246575682,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.98, 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': np.float64(0.6579332246575682)}",0.9980328143185191,0.9979459616890002,0.9962148698003074,0.9978608187432887,0.9925650325940656,0.9965238994290363,0.002090672829316002,9
1.4410346508026124,0.12490469949369193,0.3132296085357666,0.05917412143438795,"(1, 1)",3,0.9,l2,,0.6579332246575682,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': np.float64(0.6579332246575682)}",0.9976976877022146,0.9976856109444362,0.9964597672792764,0.997649091966566,0.9920007490231043,0.9962985813831194,0.0022001169159848242,10
4.211687850952148,0.20717973496196046,0.5160890102386475,0.1123061089168607,"(1, 2)",10,0.95,l2,balanced,0.2848035868435802,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(0.2848035868435802)}",0.9971550008903172,0.9970737285122304,0.9957064389260567,0.9966535692699565,0.9904174079285774,0.9954012291054276,0.00254452165187692,11
