threshold,precision,recall,f1
4.1255343220924e-21,0.5091933570581257,1.0,0.6747887600707408
1.7206415804644914e-20,0.5099495099495099,1.0,0.6754523996852871
2.364301339545138e-20,0.51010101010101,1.0,0.6755852842809364
2.3647894396218226e-20,0.5102526002971768,1.0,0.6757182211727666
2.4038717870804255e-20,0.5104042806183116,1.0,0.6758512103916552
2.6277635647710657e-20,0.5105560511448112,1.0,0.6759842519685039
2.806169707249518e-20,0.5108598631359714,1.0,0.6762504923198109
2.810886957068688e-20,0.5110119047619047,1.0,0.6763836911561946
2.837356626248339e-20,0.5111640369157487,1.0,0.6765169424743893
2.874306606831925e-20,0.51131625967838,1.0,0.6766502463054187
3.033519043452512e-20,0.5114685731307715,1.0,0.6767836026803311
3.09264435965905e-20,0.5116209773539928,1.0,0.676917011630199
3.193958304157241e-20,0.5117734724292101,1.0,0.6770504731861198
5.580071086833569e-20,0.5120787354607814,1.0,0.6773175542406312
5.59380820426848e-20,0.5123843628767533,1.0,0.6775848460931334
5.65804909420374e-20,0.5125373134328358,1.0,0.6777185711466351
5.94248948638262e-20,0.5126903553299492,1.0,0.6778523489932886
5.970256170694925e-20,0.5128434886499402,1.0,0.6779861796643633
6.290655827371337e-20,0.5129967134747535,1.0,0.6781200631911533
6.388830722674119e-20,0.5133034379671151,1.0,0.678387988937179
7.434217053124686e-20,0.5134569377990431,1.0,0.6785220312191268
9.474276349115514e-20,0.5136105294645528,1.0,0.6786561264822134
1.459294038633483e-19,0.5137642130460802,1.0,0.6787902747578574
1.5103833547819148e-19,0.5139179886261598,1.0,0.678924476077501
1.9082711003619658e-19,0.5140718562874251,1.0,0.6790587304726122
2.5220734839984245e-19,0.5142258161126085,1.0,0.6791930379746836
2.557803344991776e-19,0.5143798681845416,1.0,0.6793273986152325
2.898752604777386e-19,0.5145340125861553,1.0,0.6794618124258014
3.415291970573717e-19,0.5146882494004796,1.0,0.6795962794379576
3.4432250501940437e-19,0.5148425787106446,1.0,0.6797307996832938
3.446157885766082e-19,0.5151515151515151,1.0,0.6799999999999999
3.4584342187459395e-19,0.5153061224489796,1.0,0.68013468013468
3.4745886494538525e-19,0.5154608225758031,1.0,0.68026941362916
3.5196050574895795e-19,0.5156156156156156,1.0,0.6804042005151575
3.549118351782074e-19,0.5157705016521478,1.0,0.6805390408244154
3.5967307257104485e-19,0.5159254807692307,1.0,0.6806739345887016
3.8658170539352903e-19,0.5160805530507965,1.0,0.6808088818398097
4.267294625208008e-19,0.5162357185808779,1.0,0.6809438826095577
4.321878131998908e-19,0.5163909774436091,1.0,0.6810789369297898
4.408654900380955e-19,0.516546329723225,1.0,0.6812140448323745
5.213820467397981e-19,0.5167017755040626,1.0,0.6813492063492064
5.498207633264957e-19,0.5168573148705599,1.0,0.6814844215122048
6.97583274811283e-19,0.5170129479072568,1.0,0.6816196903533147
7.485230295685589e-19,0.5171686746987951,1.0,0.6817550129045066
1.170062947347554e-18,0.5173244953299186,1.0,0.681890389197776
1.1932248292971623e-18,0.5174804098854732,1.0,0.682025819265144
1.3371533151641756e-18,0.517636418450407,1.0,0.6821613031386571
1.4405017349123284e-18,0.5177925211097708,1.0,0.6822968408503874
2.1814132257074512e-18,0.517948717948718,1.0,0.6824324324324326
2.862299295361149e-18,0.5181050090525046,1.0,0.6825680779169152
3.3953940039742677e-18,0.5182613945064896,1.0,0.6827037773359841
5.1908410278910896e-18,0.5184178743961353,1.0,0.6828395307218135
7.157882304653042e-18,0.518574448807007,1.0,0.682975338106603
9.236065761373883e-18,0.5187311178247734,1.0,0.6831111995225781
1.0737093963931703e-17,0.518887881535207,1.0,0.6832471150019898
1.0750844473452275e-17,0.5190447400241838,1.0,0.6833830845771144
2.4392683996314836e-17,0.5192016933776837,1.0,0.6835191082802549
2.487537053424974e-17,0.5193587416817906,1.0,0.6836551861437388
2.5498259563727928e-17,0.5195158850226929,1.0,0.6837913181999203
2.690859740750556e-17,0.5196731234866828,1.0,0.6839275044811791
5.79523961984062e-17,0.5198304571601574,1.0,0.6840637450199203
6.906887647923466e-17,0.5199878861296184,1.0,0.6842000398485754
7.119004453007977e-17,0.5201454104816722,1.0,0.6843363889996015
8.163987351759447e-17,0.5203030303030303,1.0,0.6844727925054813
1.1419220814377943e-16,0.5204607456805093,1.0,0.6846092503987241
1.1631204510693376e-16,0.520618556701031,1.0,0.6847457627118645
1.2501188767233817e-16,0.5207764634516227,1.0,0.6848823294774631
1.279555180120766e-16,0.5209344660194175,1.0,0.6850189507281069
1.4776912954103598e-16,0.521092564491654,1.0,0.6851556264964086
1.6016059355787738e-16,0.521250758955677,1.0,0.685292356815007
1.686900330541984e-16,0.5214090494989372,1.0,0.6854291417165669
1.8848092012664619e-16,0.5215674362089915,1.0,0.6855659812337792
2.36188481966356e-16,0.5217259191735035,1.0,0.685702875399361
2.568924785148292e-16,0.5218844984802432,1.0,0.6858398242460555
2.5996703824439203e-16,0.5220431742170872,1.0,0.685976827806632
2.9606822046477103e-16,0.5222019464720195,1.0,0.6861138861138861
5.085989214930998e-16,0.5223608153331305,1.0,0.6862509992006395
5.103694359657397e-16,0.5225197808886184,1.0,0.6863881670997402
5.377192116864268e-16,0.5226788432267885,1.0,0.6865253898440624
5.972721535819076e-16,0.5228380024360536,1.0,0.6866626674665066
6.249411734434791e-16,0.5229972586049345,1.0,0.6868
6.373748051035127e-16,0.5231566118220597,1.0,0.6869373874774954
6.570484320926906e-16,0.5233160621761658,1.0,0.6870748299319727
8.199111358120323e-16,0.5234756097560975,1.0,0.6872123273964378
9.21958759336961e-16,0.5236352546508082,1.0,0.6873498799039232
1.0244394733985568e-15,0.5237949969493594,1.0,0.6874874874874874
1.04312465104073e-15,0.5239548367409216,1.0,0.6876251501802162
1.200390033935077e-15,0.5241147741147741,1.0,0.6877628680152214
1.357523991047673e-15,0.5242748091603053,1.0,0.687900641025641
1.417708651318924e-15,0.5244349419670128,1.0,0.6880384692446404
1.4364737924978665e-15,0.5245951726245035,1.0,0.6881763527054108
1.6800271584711443e-15,0.5247555012224939,1.0,0.6883142914411705
1.898473787211994e-15,0.5249159278508102,1.0,0.6884522854851645
2.297807691153198e-15,0.5250764525993884,1.0,0.6885903348706637
2.666206559209184e-15,0.5252370755582747,1.0,0.6887284396309667
3.1351732007867363e-15,0.5253977968176254,1.0,0.6888665997993981
3.3135967723253228e-15,0.5255586164677074,1.0,0.6890048154093099
3.700836809593344e-15,0.5257195345988978,1.0,0.68914308649408
3.8971803107903675e-15,0.5258805513016845,1.0,0.6892814130871135
4.269803044852448e-15,0.5260416666666666,1.0,0.689419795221843
4.323738273954987e-15,0.5262028807845541,1.0,0.6895582329317269
4.4624939642299185e-15,0.5263641937461679,1.0,0.6896967262502509
4.536831518052588e-15,0.526525605642441,1.0,0.6898352752109281
4.552184110209077e-15,0.5266871165644171,1.0,0.6899738798472975
4.7296427577013615e-15,0.5268487266032525,1.0,0.6901125401929261
4.873777429151874e-15,0.5270104358502149,1.0,0.6902512562814072
5.027563210764527e-15,0.5271722443966841,1.0,0.6903900281463612
5.032596495089267e-15,0.5273341523341524,1.0,0.6905288558214357
5.141368896295915e-15,0.5274961597542243,1.0,0.6906677393403057
5.2291014103586795e-15,0.527658266748617,1.0,0.6908066787366726
5.367783054847114e-15,0.5278204734091608,1.0,0.6909456740442655
5.908962219984427e-15,0.5279827798277983,1.0,0.6910847252968404
6.0545700734136955e-15,0.5281451860965857,1.0,0.6912238325281804
6.848703759929214e-15,0.5283076923076923,1.0,0.6913629957720957
7.241646092171939e-15,0.528470298553401,1.0,0.6915022150624244
7.303908957858775e-15,0.5286330049261084,1.0,0.6916414904330312
7.386466216733793e-15,0.5287958115183246,1.0,0.6917808219178081
7.972772637404956e-15,0.5289587184226741,1.0,0.691920209550675
7.986613816584862e-15,0.5291217257318952,1.0,0.6920596533655784
8.246037564789955e-15,0.5292848335388409,1.0,0.6921991533964926
8.734466006246179e-15,0.5294480419364785,1.0,0.6923387096774193
8.915520078423498e-15,0.5296113510178901,1.0,0.6924783222423876
9.257054581657561e-15,0.5297747608762727,1.0,0.6926179911254537
9.782218562668043e-15,0.530101883297314,1.0,0.6928974979822438
9.980258578218092e-15,0.5302655960469426,1.0,0.693037336024218
1.0069131709482208e-14,0.5304294099474822,1.0,0.6931772305207913
1.1072578240152316e-14,0.5305933250927071,1.0,0.693317181506158
1.1670486785150165e-14,0.530757341576507,1.0,0.6934571890145396
1.2007165687648533e-14,0.530921459492888,1.0,0.6935972530801858
1.2198128671656764e-14,0.5310856789359728,1.0,0.6937373737373738
1.25790498284078e-14,0.53125,1.0,0.6938775510204082
1.2830416713080784e-14,0.5314144227793253,1.0,0.6940177849636217
1.3651207269907207e-14,0.531578947368421,1.0,0.6941580756013745
1.3775720960498276e-14,0.5317435738618768,1.0,0.694298422968055
1.4660420356941407e-14,0.531908302354399,1.0,0.6944388270980789
1.5179829338973188e-14,0.5320731329408119,1.0,0.69457928802589
1.5495562182781685e-14,0.532238065716057,1.0,0.6947198057859599
1.621033674007297e-14,0.5324031007751938,1.0,0.6948603804127883
1.922744290921218e-14,0.5325682382133995,1.0,0.6950010119409026
1.9566271286348826e-14,0.5327334781259696,1.0,0.6951417004048583
2.403962026278532e-14,0.5328988206083178,1.0,0.6952824458392387
2.5231596549221882e-14,0.5330642657559764,1.0,0.6954232482786554
2.6049676879522548e-14,0.5332298136645963,1.0,0.6955641077577477
2.6701494474017082e-14,0.5333954644299472,1.0,0.6957050243111832
3.01364042664146e-14,0.533561218147918,1.0,0.6958459979736575
3.257715336785628e-14,0.5337270749145167,1.0,0.6959870287798946
3.4233852514908373e-14,0.5338930348258707,1.0,0.6961281167646464
4.19219471020967e-14,0.534059097978227,1.0,0.6962692619626927
4.946290263975173e-14,0.5342252644679527,1.0,0.696410464408842
5.115301100747766e-14,0.5343915343915344,1.0,0.6965517241379311
5.3099484245537103e-14,0.5345579078455791,1.0,0.6966930411848246
5.379447699064805e-14,0.5347243849268141,1.0,0.6968344155844155
5.567878066712137e-14,0.5348909657320873,1.0,0.6969758473716258
5.609815525732127e-14,0.535057650358367,1.0,0.6971173365814047
6.005391416599742e-14,0.5352244389027432,1.0,0.697258883248731
7.153454568188495e-14,0.5353913314624259,1.0,0.6974004874086108
9.024937693715709e-14,0.5355583281347474,1.0,0.6975421490960796
9.35196844034972e-14,0.5357254290171607,1.0,0.6976838683462008
9.3687922504218e-14,0.535892634207241,1.0,0.6978256451940663
9.509688801804911e-14,0.536059943802685,1.0,0.6979674796747968
1.045829544441833e-13,0.5362273579013117,1.0,0.6981093718235414
1.1216183994232745e-13,0.5363948766010622,1.0,0.6982513216754779
1.214257997525081e-13,0.5365625,1.0,0.6983933292658125
1.230450165575071e-13,0.5367302281963113,1.0,0.6985353946297803
1.2853315009420916e-13,0.5368980612883052,1.0,0.698677517802645
1.3231345845730788e-13,0.5370659993744135,1.0,0.6988196988196987
1.398744038560542e-13,0.5372340425531915,1.0,0.698961937716263
1.4531836933978853e-13,0.5374021909233176,1.0,0.6991042345276872
1.466588241191774e-13,0.5375704445835943,1.0,0.6992465892893505
1.5306798751450797e-13,0.5377388036329471,1.0,0.6993890020366599
1.5441597619693672e-13,0.5379072681704261,1.0,0.699531472805052
1.59742755087344e-13,0.5380758382952052,1.0,0.6996740016299917
1.7867104502575063e-13,0.538244514106583,1.0,0.6998165885469737
1.8480653569026043e-13,0.5384132957039824,1.0,0.6999592335915206
1.9369928675083192e-13,0.5385821831869511,1.0,0.7001019367991845
2.5054809641109904e-13,0.5387511766551616,1.0,0.7002446982055465
2.662861234609016e-13,0.5389202762084118,1.0,0.7003875178462166
2.813773852090436e-13,0.5390894819466248,1.0,0.700530395756834
3.3415894475033556e-13,0.5392587939698492,1.0,0.7006733319730667
3.478520276995349e-13,0.5394282123782596,1.0,0.7008163265306123
3.8556834842024406e-13,0.5395977372721559,1.0,0.7009593794651969
4.161036490912751e-13,0.5397673687519647,1.0,0.7011024908125765
4.208076836774818e-13,0.539937106918239,1.0,0.7012456606085359
4.2840138570671723e-13,0.5401069518716578,1.0,0.701388888888889
4.292370087977773e-13,0.5402769037130271,1.0,0.701532175689479
4.325073770627841e-13,0.5404469625432798,1.0,0.7016755210461789
4.716125550274958e-13,0.5406171284634761,1.0,0.7018189249948907
4.732289863006765e-13,0.5407874015748031,1.0,0.7019623875715454
4.955316921407832e-13,0.5409577819785759,1.0,0.7021059088121039
5.585202990001244e-13,0.541128269776237,1.0,0.7022494887525562
5.594587061210622e-13,0.5412988650693569,1.0,0.702393127428922
5.605822594519378e-13,0.5414695679596342,1.0,0.7025368248772504
5.803157741093982e-13,0.5416403785488959,1.0,0.7026805811336199
6.080464864763931e-13,0.5418112969390975,1.0,0.7028243962341384
6.417025313839743e-13,0.5419823232323232,1.0,0.7029682702149437
7.022479864286913e-13,0.5421534575307863,1.0,0.7031122031122031
7.1828298811654e-13,0.5423246999368289,1.0,0.7032561949621136
7.201512832369157e-13,0.5424960505529226,1.0,0.7034002458009013
8.742357751263092e-13,0.5426675094816688,1.0,0.7035443556648228
9.076991957754401e-13,0.5428390768257982,1.0,0.7036885245901638
9.465864388840693e-13,0.543010752688172,1.0,0.7038327526132404
9.51982950161326e-13,0.5431825371717811,1.0,0.7039770397703977
9.652662561321743e-13,0.5433544303797468,1.0,0.7041213860980111
1.0612884482074575e-12,0.5435264324153213,1.0,0.7042657916324856
1.115760612080625e-12,0.5436985433818873,1.0,0.7044102564102565
1.2365601540679063e-12,0.5438707633829585,1.0,0.7045547804677882
1.2860129275932926e-12,0.54404309252218,1.0,0.704699363841576
1.3304192433864407e-12,0.5442155309033281,1.0,0.7048440065681445
1.3717280170696865e-12,0.5443880786303107,1.0,0.7049887086840484
1.4597646033071352e-12,0.5445607358071678,1.0,0.7051334702258727
1.6270709792995263e-12,0.5447335025380711,1.0,0.7052782912302321
1.7299166763916801e-12,0.5449063789273246,1.0,0.7054231717337714
1.7709823476828092e-12,0.545079365079365,1.0,0.7055681117731663
1.7771706742854944e-12,0.5452524610987615,1.0,0.7057131113851212
1.7797079308184328e-12,0.545425667090216,1.0,0.705858170606372
1.8006829579173688e-12,0.5455989831585637,1.0,0.7060032894736842
1.885915075995461e-12,0.545772409408773,1.0,0.7061484680238536
2.061803641236443e-12,0.5459459459459459,1.0,0.7062937062937062
2.0862691171365328e-12,0.5461195928753181,1.0,0.7064390043200988
2.181345152071672e-12,0.546293350302259,1.0,0.7065843621399177
2.253371654304904e-12,0.5464672183322724,1.0,0.7067297797900802
2.2732518498788036e-12,0.5466411970709965,1.0,0.7068752573075339
2.2793724589991738e-12,0.5468152866242039,1.0,0.7070207947292567
2.357037007418857e-12,0.5469894870978018,1.0,0.707166392092257
2.3579032463947476e-12,0.547163798597833,1.0,0.7073120494335736
2.42944002103561e-12,0.5473382212304749,1.0,0.707457766790276
