model,dataset,accuracy,roc_auc,pr_auc,spam_precision,spam_recall,spam_f1,ham_precision,ham_recall,ham_f1,tn,fp,fn,tp,FN,FP,TN,TP,_source,ham_F1,ham_P,ham_R,max_df,max_features,min_df,model_name,ngram,spam_F1,spam_P,spam_R,threshold_mode,threshold_used
mnb,enron,0.9912514827995255,0.9991075902120412,0.999056508874311,0.9881434355118566,0.994759825327511,0.991440591904831,0.9945222154595252,0.9876095497129042,0.9910538286580743,3268,41,18,3417,18,41,3268,3417,outputs\enron\final\mnb\metrics.json,0.9910538286580743,0.9945222154595252,0.9876095497129042,0.95,30000,5,MNB(alpha=0.3),1-2,0.991440591904831,0.9881434355118566,0.994759825327511,balanced,0.45000000000000007
lr,enron,0.994661921708185,0.9995574242186301,0.9995466750443923,0.9930374238468234,0.9965065502183406,0.994768962510898,0.9963603275705186,0.9927470534904805,0.9945504087193461,3285,24,12,3423,12,24,3285,3423,outputs\enron\final\lr\metrics.json,0.9945504087193461,0.9963603275705186,0.9927470534904805,0.95,30000,5,LR(C=3.0),1-2,0.994768962510898,0.9930374238468234,0.9965065502183406,balanced,0.6
