metric,baseline,tuned,delta
accuracy,0.9912514827995255,0.994661921708185,0.003410438908659552
spam_precision,,,
spam_recall,,,
macro_f1,,,
pr_auc,0.999056508874311,0.9995466750443923,0.000490166170081352
roc_auc,0.9991075902120412,0.9995574242186301,0.0004498340065889339
