metric,baseline,tuned,delta
accuracy,,0.9912514827995255,
spam_precision,,,
spam_recall,,,
macro_f1,,,
pr_auc,0.9996129569093546,0.999056508874311,-0.0005564480350436218
roc_auc,0.9996160241940731,0.9991075902120412,-0.0005084339820319306
