thr,spam_P,spam_R,spam_F1,ham_P,ham_R,ham_F1,TN,FP,FN,TP,mode
0.5,0.981637337413925,0.9961180124223602,0.9888246628131021,0.9959083469721768,0.9806607574536664,0.9882257409663012,2434,48,10,2566,
0.55,0.9880401234567902,0.9941770186335404,0.9910990712074303,0.9939172749391727,0.9875100725221595,0.9907033144704931,2451,31,15,2561,
0.6,0.9914430182808246,0.9895186335403726,0.9904798911987566,0.9891435464414958,0.9911361804995971,0.9901388609378144,2460,22,27,2549,val-opt
0.65,0.9941014549744397,0.9813664596273292,0.9876929087712444,0.9809145129224652,0.9939564867042707,0.9873924354612768,2467,15,48,2528,
0.7,0.9952248308794269,0.9708850931677019,0.9829043033994891,0.9705304518664047,0.9951651893634166,0.9826934553411577,2470,12,75,2501,
